,0
0,Arkansas
1,Connecticut
2,Illinois
3,Kansas
4,Maine
5,Maryland
6,Massachusetts
7,Michigan
8,Minnesota
9,Missouri
10,New Hampshire
11,New Jersey
12,North Carolina
13,North Dakota
14,Oklahoma
15,Oregon
16,Pennsylvania
17,Rhode Island
18,South Carolina
19,South Dakota
20,Tennessee
21,Texas
22,Utah
23,Vermont
24,Virginia
25,Washington
26,West Virginia
27,Wisconsin
28,Wyoming
